"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
13.11.23;09:54:26;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:54:53;MC-Start;MCB;MC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:54:53;Manual;SK;S_231113_095453; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:56:07;MC-Stop;MCE;MC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:56:12;P700-Cal.;SK;S_231113_095612; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:56:38;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:56:38;Manual;SK;S_231113_095638; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:56:39;Fo-Det.;Fo;; 0.0;0;;0.0000;0.4368;;;;;;;;;;;;;;;;;;;;;;
13.11.23;09:56:39;Fm-Det.;SP;F_231113_095639_0; 0.0;0;;0.0000;0.4368;1.5855;;0.6701;0.724;;;0.000;0.423;0.000;0.000;0.000;0.797;0.520;0.423;1.000;-0.014;0.133;;;;;
13.11.23;09:56:47;Pm.-Det.;SP;F_231113_095647_0; 0.0;26;;0.0000;0.4320;1.5238;;0.7523;0.506;;;5.529;0.474;0.019;0.040;0.049;0.707;0.406;0.474;0.961;-0.009;0.167;1.000;0.000;0.000;10.920;
13.11.23;09:57:01;P.+F. SP;SP;F_231113_095701_0; 0.0;26;;0.0000;0.4302;1.5013;;0.6822;0.546;;;5.958;0.430;0.024;0.056;0.068;0.765;0.482;0.430;0.947;-0.007;0.189;1.000;0.000;0.000;10.920;
13.11.23;09:57:11;P.+F. SP;SP;F_231113_095711_0; 0.0;36;;0.0000;0.4289;1.4863;;0.7268;0.511;;;7.726;0.458;0.031;0.067;0.079;0.718;0.424;0.458;0.937;0.002;0.197;1.000;0.009;-0.009;15.120;
13.11.23;09:57:21;P.+F. SP;SP;F_231113_095721_0; 0.0;48;;0.0000;0.4275;1.4692;;0.7748;0.473;;;9.527;0.489;0.039;0.079;0.093;0.667;0.368;0.489;0.927;0.010;0.192;1.000;0.058;-0.058;20.160;
13.11.23;09:57:31;P.+F. SP;SP;F_231113_095731_0; 0.0;60;;0.0000;0.4260;1.4521;;0.8206;0.435;;;10.959;0.518;0.048;0.092;0.107;0.615;0.320;0.518;0.916;0.020;0.196;1.000;0.121;-0.121;25.200;
13.11.23;09:57:41;P.+F. SP;SP;F_231113_095741_0; 0.0;105;;0.0000;0.4246;1.4358;;0.9685;0.325;;;14.352;0.611;0.064;0.104;0.120;0.462;0.203;0.611;0.906;0.032;0.180;0.892;0.190;-0.083;39.348;
13.11.23;09:57:51;P.+F. SP;SP;F_231113_095751_0; 0.0;162;;0.0000;0.4227;1.4144;;1.0753;0.240;;;16.314;0.678;0.082;0.121;0.137;0.342;0.134;0.678;0.892;0.047;0.184;0.822;0.280;-0.103;55.951;
13.11.23;09:58:01;P.+F. SP;SP;F_231113_095801_0; 0.0;199;;0.0000;0.4212;1.3972;;1.1161;0.201;;;16.817;0.704;0.095;0.135;0.150;0.288;0.109;0.704;0.881;0.045;0.172;0.761;0.273;-0.033;63.570;
